C26;Abdominal Injuries;D000007
C04;Abdominal Neoplasms;D000008
C16;Abetalipoproteinemia;D000012
C18;Abetalipoproteinemia;D000012
C16;Congenital Abnormalities;D000013
C16;Abnormalities, Drug-Induced;D000014
C16;Abnormalities, Multiple;D000015
C16;Abnormalities, Radiation-Induced;D000016
C26;Abnormalities, Radiation-Induced;D000016
C13;Abortion, Spontaneous;D000022
C13;Abortion, Habitual;D000026
C13;Abortion, Incomplete;D000027
C13;Abortion, Missed;D000030
C01;Abortion, Septic;D000031
C13;Abortion, Septic;D000031
C13;Abortion, Threatened;D000033
C13;Abortion, Veterinary;D000034
C13;Abruptio Placentae;D000037
C01;Abscess;D000038
C01;Peritonsillar Abscess;D000039
C07;Peritonsillar Abscess;D000039
C08;Peritonsillar Abscess;D000039
C09;Peritonsillar Abscess;D000039
C17;Acantholysis;D000051
C17;Acanthosis Nigricans;D000052
C06;Achlorhydria;D000126
C18;Achlorhydria;D000126
C05;Achondroplasia;D000130
C16;Achondroplasia;D000130
C18;Acid-Base Imbalance;D000137
C18;Acidosis;D000138
C18;Acidosis, Lactic;D000140
C12;Acidosis, Renal Tubular;D000141
C13;Acidosis, Renal Tubular;D000141
C16;Acidosis, Renal Tubular;D000141
C18;Acidosis, Renal Tubular;D000141
C08;Acidosis, Respiratory;D000142
C18;Acidosis, Respiratory;D000142
C01;Acinetobacter Infections;D000151
C17;Acne Vulgaris;D000152
C17;Acne Keloid;D000153
C09;Vestibulocochlear Nerve Diseases;D000160
C10;Vestibulocochlear Nerve Diseases;D000160
C02;Acquired Immunodeficiency Syndrome;D000163
C20;Acquired Immunodeficiency Syndrome;D000163
C05;Acrocephalosyndactylia;D000168
C16;Acrocephalosyndactylia;D000168
C16;Acrodermatitis;D000169
C17;Acrodermatitis;D000169
C10;Acrodynia;D000170
C25;Acrodynia;D000170
C05;Acromegaly;D000172
C10;Acromegaly;D000172
C19;Acromegaly;D000172
C04;ACTH Syndrome, Ectopic;D000182
C01;Actinobacillosis;D000187
C01;Actinobacillus Infections;D000189
C01;Actinomycetales Infections;D000193
C01;Actinomycosis;D000196
C01;Actinomycosis, Cervicofacial;D000197
C17;Actinomycosis, Cervicofacial;D000197
C14;Adams-Stokes Syndrome;D000219
C19;Addison Disease;D000224
C20;Addison Disease;D000224
C04;Adenocarcinoma;D000230
C04;Adenocarcinoma, Papillary;D000231
C04;Adenofibroma;D000232
C04;Adenolymphoma;D000235
C04;Adenoma;D000236
C04;Adenoma, Basophil;D000237
C04;Adenoma, Chromophobe;D000238
C04;Adenoma, Acidophil;D000239
C02;Adenoviridae Infections;D000257
C02;Adenovirus Infections, Human;D000258
C10;Adie Syndrome;D000270
C11;Adie Syndrome;D000270
C17;Adiposis Dolorosa;D000274
C18;Adiposis Dolorosa;D000274
C13;Adnexal Diseases;D000291
C01;Pelvic Inflammatory Disease;D000292
C13;Pelvic Inflammatory Disease;D000292
C19;Adrenal Cortex Diseases;D000303
C04;Adrenal Cortex Neoplasms;D000306
C19;Adrenal Cortex Neoplasms;D000306
C19;Adrenal Gland Diseases;D000307
C19;Adrenocortical Hyperfunction;D000308
C19;Adrenal Insufficiency;D000309
C04;Adrenal Gland Neoplasms;D000310
C19;Adrenal Gland Neoplasms;D000310
C12;Adrenal Hyperplasia, Congenital;D000312
C13;Adrenal Hyperplasia, Congenital;D000312
C16;Adrenal Hyperplasia, Congenital;D000312
C18;Adrenal Hyperplasia, Congenital;D000312
C19;Adrenal Hyperplasia, Congenital;D000312
C04;Adrenal Rest Tumor;D000314
C10;Adrenoleukodystrophy;D000326
C16;Adrenoleukodystrophy;D000326
C18;Adrenoleukodystrophy;D000326
C19;Adrenoleukodystrophy;D000326
C06;Afferent Loop Syndrome;D000343
C15;Afibrinogenemia;D000347
C16;Afibrinogenemia;D000347
C02;African Horse Sickness;D000355
C02;African Swine Fever;D000357
C15;Agammaglobulinemia;D000361
C20;Agammaglobulinemia;D000361
C10;Ageusia;D000370
C10;Agnosia;D000377
C15;Agranulocytosis;D000380
C10;Agraphia;D000381
C24;Agricultural Workers' Diseases;D000382
C02;AIDS-Related Complex;D000386
C20;AIDS-Related Complex;D000386
C05;Ainhum;D000387
C08;Airway Obstruction;D000402
C10;Akinetic Mutism;D000405
C11;Albinism;D000417
C16;Albinism;D000417
C17;Albinism;D000417
C18;Albinism;D000417
C12;Albuminuria;D000419
C13;Albuminuria;D000419
C10;Alcohol Amnestic Disorder;D000425
C25;Alcohol Amnestic Disorder;D000425
C10;Alcohol Withdrawal Delirium;D000430
C25;Alcohol Withdrawal Delirium;D000430
C25;Alcoholic Intoxication;D000435
C25;Alcoholism;D000437
C02;Aleutian Mink Disease;D000453
C20;Aleutian Mink Disease;D000453
C18;Alkalosis;D000471
C08;Alkalosis, Respiratory;D000472
C18;Alkalosis, Respiratory;D000472
C16;Alkaptonuria;D000474
C18;Alkaptonuria;D000474
C17;Alopecia;D000505
C17;Alopecia Areata;D000506
C17;Mucinosis, Follicular;D000507
C08;Altitude Sickness;D000532
C08;Alveolitis, Extrinsic Allergic;D000542
C20;Alveolitis, Extrinsic Allergic;D000542
C10;Alzheimer Disease;D000544
C10;Amblyopia;D000550
C11;Amblyopia;D000550
C03;Amebiasis;D000562
C04;Ameloblastoma;D000564
C07;Amelogenesis Imperfecta;D000567
C16;Amelogenesis Imperfecta;D000567
C16;Amino Acid Metabolism, Inborn Errors;D000592
C18;Amino Acid Metabolism, Inborn Errors;D000592
C12;Renal Aminoacidurias;D000608
C13;Renal Aminoacidurias;D000608
C16;Renal Aminoacidurias;D000608
C18;Renal Aminoacidurias;D000608
C10;Amnesia;D000647
C10;Amnesia, Retrograde;D000648
C16;Amniotic Band Syndrome;D000652
C26;Amputation, Traumatic;D000673
C18;Amyloidosis;D000686
C10;Amyotrophic Lateral Sclerosis;D000690
C18;Amyotrophic Lateral Sclerosis;D000690
C04;Anal Gland Neoplasms;D000694
C06;Anal Gland Neoplasms;D000694
C10;Pain Insensitivity, Congenital;D000699
C16;Pain Insensitivity, Congenital;D000699
C20;Anaphylaxis;D000707
C04;Anaplasia;D000708
C01;Anaplasmataceae Infections;D000711
C01;Anaplasmosis;D000712
C03;Ancylostomiasis;D000724
C15;Anemia;D000740
C15;Anemia, Aplastic;D000741
C15;Anemia, Dyserythropoietic, Congenital;D000742
C16;Anemia, Dyserythropoietic, Congenital;D000742
C15;Anemia, Hemolytic;D000743
C15;Anemia, Hemolytic, Autoimmune;D000744
C20;Anemia, Hemolytic, Autoimmune;D000744
C15;Anemia, Hemolytic, Congenital;D000745
C16;Anemia, Hemolytic, Congenital;D000745
C15;Anemia, Hemolytic, Congenital Nonspherocytic;D000746
C16;Anemia, Hemolytic, Congenital Nonspherocytic;D000746
C15;Anemia, Hypochromic;D000747
C15;Anemia, Macrocytic;D000748
C15;Anemia, Megaloblastic;D000749
C15;Anemia, Myelophthisic;D000750
C15;Anemia, Neonatal;D000751
C16;Anemia, Neonatal;D000751
C15;Anemia, Pernicious;D000752
C18;Anemia, Pernicious;D000752
C15;Anemia, Refractory;D000753
C15;Anemia, Refractory, with Excess of Blasts;D000754
C15;Anemia, Sickle Cell;D000755
C16;Anemia, Sickle Cell;D000755
C15;Anemia, Sideroblastic;D000756
C10;Anencephaly;D000757
C16;Anencephaly;D000757
C14;Aneurysm;D000783
C14;Aneurysm, Dissecting;D000784
C01;Aneurysm, Infected;D000785
C14;Aneurysm, Infected;D000785
C14;Angina Pectoris;D000787
C14;Angina Pectoris, Variant;D000788
C14;Angina, Unstable;D000789
C11;Angioid Streaks;D000793
C04;Angiokeratoma;D000794
C10;Fabry Disease;D000795
C14;Fabry Disease;D000795
C16;Fabry Disease;D000795
C18;Fabry Disease;D000795
C15;Angiolymphoid Hyperplasia with Eosinophilia;D000796
C17;Angiolymphoid Hyperplasia with Eosinophilia;D000796
C14;Angiomatosis;D000798
C14;Angioedema;D000799
C17;Angioedema;D000799
C20;Angioedema;D000799
C11;Aniseikonia;D000839
C05;Ankylosis;D000844
C07;Anodontia;D000848
C16;Anodontia;D000848
C10;Anomia;D000849
C11;Anophthalmos;D000853
C16;Anophthalmos;D000853
C10;Olfaction Disorders;D000857
C13;Anovulation;D000858
C19;Anovulation;D000858
C05;Anterior Compartment Syndrome;D000868
C14;Anterior Compartment Syndrome;D000868
C08;Anthracosilicosis;D000874
C24;Anthracosilicosis;D000874
C01;Anthrax;D000881
C12;Anuria;D001002
C13;Anuria;D001002
C06;Anus Diseases;D001004
C04;Anus Neoplasms;D001005
C06;Anus Neoplasms;D001005
C06;Anus, Imperforate;D001006
C16;Anus, Imperforate;D001006
C14;Aortic Aneurysm;D001014
C14;Aortic Arch Syndromes;D001015
C14;Aortic Coarctation;D001017
C16;Aortic Coarctation;D001017
C14;Aortic Diseases;D001018
C14;Aortic Rupture;D001019
C26;Aortic Rupture;D001019
C14;Aortic Stenosis, Subvalvular;D001020
C14;Aortic Valve Insufficiency;D001022
C14;Aortic Valve Prolapse;D001023
C14;Aortic Valve Stenosis;D001024
C14;Aortitis;D001025
C14;Aortopulmonary Septal Defect;D001028
C16;Aortopulmonary Septal Defect;D001028
C11;Aphakia;D001035
C11;Aphakia, Postcataract;D001036
C10;Aphasia;D001037
C10;Aphasia, Broca;D001039
C10;Aphasia, Wernicke;D001041
C08;Aphonia;D001044
C09;Aphonia;D001044
C10;Aphonia;D001044
C08;Apnea;D001049
C04;Appendiceal Neoplasms;D001063
C06;Appendiceal Neoplasms;D001063
C01;Appendicitis;D001064
C06;Appendicitis;D001064
C10;Apraxias;D001072
C04;Apudoma;D001079
C25;Arachnidism;D001098
C10;Arachnoiditis;D001100
C02;Arbovirus Infections;D001102
C11;Arcus Senilis;D001112
C02;Arenaviridae Infections;D001117
C17;Argyria;D001129
C25;Argyria;D001129
C26;Arm Injuries;D001134
C10;Arnold-Chiari Malformation;D001139
C16;Arnold-Chiari Malformation;D001139
C14;Arrhythmias, Cardiac;D001145
C14;Arrhythmia, Sinus;D001146
C14;Arterial Occlusive Diseases;D001157
C14;Arterio-Arterial Fistula;D001159
C16;Arterio-Arterial Fistula;D001159
C14;Arteriosclerosis;D001161
C14;Arteriosclerosis Obliterans;D001162
C14;Arteriovenous Fistula;D001164
C16;Arteriovenous Fistula;D001164
C14;Arteriovenous Malformations;D001165
C16;Arteriovenous Malformations;D001165
C14;Arteritis;D001167
C05;Arthritis;D001168
C05;Arthritis, Experimental;D001169
C01;Arthritis, Infectious;D001170
C05;Arthritis, Infectious;D001170
C05;Arthritis, Juvenile Rheumatoid;D001171
C17;Arthritis, Juvenile Rheumatoid;D001171
C20;Arthritis, Juvenile Rheumatoid;D001171
C05;Arthritis, Rheumatoid;D001172
C17;Arthritis, Rheumatoid;D001172
C20;Arthritis, Rheumatoid;D001172
C05;Arthrogryposis;D001176
C16;Arthrogryposis;D001176
C05;Arthropathy, Neurogenic;D001177
C20;Arthus Reaction;D001183
C10;Articulation Disorders;D001184
C08;Asbestosis;D001195
C24;Asbestosis;D001195
C03;Ascariasis;D001196
C03;Ascaridiasis;D001198
C18;Ascorbic Acid Deficiency;D001206
C01;Aspergillosis;D001228
C17;Aspergillosis;D001228
C01;Aspergillosis, Allergic Bronchopulmonary;D001229
C08;Aspergillosis, Allergic Bronchopulmonary;D001229
C17;Aspergillosis, Allergic Bronchopulmonary;D001229
C20;Aspergillosis, Allergic Bronchopulmonary;D001229
C26;Asphyxia;D001237
C16;Asphyxia Neonatorum;D001238
C11;Asthenopia;D001248
C08;Asthma;D001249
C20;Asthma;D001249
C08;Asthma, Exercise-Induced;D001250
C20;Asthma, Exercise-Induced;D001250
C11;Astigmatism;D001251
C04;Astrocytoma;D001254
C10;Ataxia;D001259
C10;Ataxia Telangiectasia;D001260
C14;Ataxia Telangiectasia;D001260
C16;Ataxia Telangiectasia;D001260
C18;Ataxia Telangiectasia;D001260
C20;Ataxia Telangiectasia;D001260
C08;Pulmonary Atelectasis;D001261
C10;Athetosis;D001264
C26;Athletic Injuries;D001265
C14;Atrial Fibrillation;D001281
C14;Atrial Flutter;D001282
C09;Auditory Diseases, Central;D001304
C10;Auditory Diseases, Central;D001304
C09;Auditory Perceptual Disorders;D001308
C10;Auditory Perceptual Disorders;D001308
C20;Autoimmune Diseases;D001327
C10;Autonomic Nervous System Diseases;D001342
C02;Avian Leukosis;D001353
C04;Avian Leukosis;D001353
C02;Sarcoma, Avian;D001357
C04;Sarcoma, Avian;D001357
C18;Avitaminosis;D001361
C03;Babesiosis;D001404
C10;Reflex, Babinski;D001405
C10;Back Pain;D001416
C01;Bacterial Infections and Mycoses;D001423
C01;Bacterial Infections;D001424
C01;Bacteriuria;D001437
C12;Bacteriuria;D001437
C13;Bacteriuria;D001437
C01;Bacteroides Infections;D001442
C12;Balanitis;D001446
C03;Balantidiasis;D001447
C06;Balantidiasis;D001447
C12;Balkan Nephropathy;D001449
C13;Balkan Nephropathy;D001449
C26;Barotrauma;D001469
C06;Barrett Esophagus;D001471
C01;Bartonella Infections;D001474
C01;Bartonellaceae Infections;D001476
C12;Bartter Syndrome;D001477
C13;Bartter Syndrome;D001477
C19;Bartter Syndrome;D001477
C04;Basal Cell Nevus Syndrome;D001478
C05;Basal Cell Nevus Syndrome;D001478
C07;Basal Cell Nevus Syndrome;D001478
C16;Basal Cell Nevus Syndrome;D001478
C10;Basal Ganglia Diseases;D001480
C16;Beckwith-Wiedemann Syndrome;D001506
C07;Behcet Syndrome;D001528
C11;Behcet Syndrome;D001528
C14;Behcet Syndrome;D001528
C17;Behcet Syndrome;D001528
C18;Beriberi;D001602
C15;Bernard-Soulier Syndrome;D001606
C16;Bernard-Soulier Syndrome;D001606
C08;Berylliosis;D001607
C24;Berylliosis;D001607
C26;Bezoars;D001630
C06;Bile Duct Diseases;D001649
C04;Bile Duct Neoplasms;D001650
C06;Bile Duct Neoplasms;D001650
C06;Cholestasis, Extrahepatic;D001651
C06;Bile Reflux;D001655
C06;Biliary Atresia;D001656
C16;Biliary Atresia;D001656
C06;Biliary Dyskinesia;D001657
C06;Biliary Fistula;D001658
C06;Biliary Tract Diseases;D001660
C04;Biliary Tract Neoplasms;D001661
C06;Biliary Tract Neoplasms;D001661
C08;Bird Fancier's Lung;D001716
C20;Bird Fancier's Lung;D001716
C24;Bird Fancier's Lung;D001716
C16;Birth Injuries;D001720
C26;Birth Injuries;D001720
C25;Bites and Stings;D001733
C26;Bites and Stings;D001733
C26;Bites, Human;D001734
C03;Blackwater Fever;D001742
C12;Urinary Bladder Calculi;D001744
C13;Urinary Bladder Calculi;D001744
C12;Urinary Bladder Diseases;D001745
C13;Urinary Bladder Diseases;D001745
C12;Bladder Exstrophy;D001746
C13;Bladder Exstrophy;D001746
C16;Bladder Exstrophy;D001746
C12;Urinary Bladder Fistula;D001747
C13;Urinary Bladder Fistula;D001747
C12;Urinary Bladder Neck Obstruction;D001748
C13;Urinary Bladder Neck Obstruction;D001748
C04;Urinary Bladder Neoplasms;D001749
C12;Urinary Bladder Neoplasms;D001749
C13;Urinary Bladder Neoplasms;D001749
C10;Urinary Bladder, Neurogenic;D001750
C12;Urinary Bladder, Neurogenic;D001750
C13;Urinary Bladder, Neurogenic;D001750
C04;Blast Crisis;D001752
C15;Blast Crisis;D001752
C26;Blast Injuries;D001753
C01;Blastomycosis;D001759
C17;Blastomycosis;D001759
C11;Blepharitis;D001762
C11;Blepharoptosis;D001763
C11;Blepharospasm;D001764
C06;Blind Loop Syndrome;D001765
C18;Blind Loop Syndrome;D001765
